title,price,manufacturing_year,mileage,color,fuel,hp,eurostandard,cubic_capacity,gearbox,type,region,url
Mercedes-Benz GLE Coupe 350CDI/4MATIK/AMG/SERVIZNA ISTORIA,80 999 лв.,юни 2015 г.,190 300,Хамелеон,Дизелов,,5,,автоматична,Хечбек,София,https://www.mobile.bg/obiava-21588444467541694-mercedes-benz-gle-coupe-350cdi-4matik-amg-servizna-istoria
Mercedes-Benz GLE Coupe 350d* AMG* 4Matic* 360* Camera* Distronic*,86 990 лв.,август 2016 г.,130 460,Черен,Дизелов,258,6,3000,автоматична,Джип,Кърджали,https://www.mobile.bg/obiava-21715797081298918-mercedes-benz-gle-coupe-350d-amg-4matic-360-camera-distronic
Mercedes-Benz GLE Coupe DE,95 000 лв.,февруари 2021 г.,76 700,Черен,Plug-in хибрид,347,6,,автоматична,Джип,София,https://www.mobile.bg/obiava-21739010643406142-mercedes-benz-gle-coupe-de
Mercedes-Benz GLE Coupe 400d - AMG - Burmester - Панорама - Head up,110 000 лв.,октомври 2020 г.,186 000,Черен,Дизелов,330,6,2925,автоматична,Джип,Плевен,https://www.mobile.bg/obiava-21738665805729582-mercedes-benz-gle-coupe-400d-amg-burmester-panorama-head-up
Mercedes-Benz GLE Coupe 53 AMG,149 999 лв.,май 2021 г.,78 000,Черен,Бензинов,435,6,3000,автоматична,Джип,Пловдив,https://www.mobile.bg/obiava-21740603556764394-mercedes-benz-gle-coupe-53-amg
Mercedes-Benz GLE Coupe 400d * FULL Екстри * ПАНОРАМА * BURMEISTER * AMG,169 900 лв.,ноември 2023 г.,19 000,Черен,Дизелов,326,6,,автоматична,Купе,Варна,https://www.mobile.bg/obiava-21704028261126460-mercedes-benz-gle-coupe-400d-full-ekstri-panorama-burmeister-amg
Mercedes-Benz GLE,2 700 лв.,юли 2016 г.,1,,Дизелов,,,,автоматична,Джип,София,https://www.mobile.bg/obiava-21740640394400982-mercedes-benz-gle
Mercedes-Benz GLE 350d AMG package,46 990 лв.,юни 2016 г.,184 000,Бял,Дизелов,258,,3000,автоматична,Джип,Стара Загора,https://www.mobile.bg/obiava-21727281391874410-mercedes-benz-gle-350d-amg-package
Mercedes-Benz GLE UNIKALEN,49 000 лв.,юли 2017 г.,280 000,Черен,Дизелов,260,6,3500,автоматична,Джип,Кърджали,https://www.mobile.bg/obiava-21730132911440718-mercedes-benz-gle-unikalen
Mercedes-Benz GLE 3.5 D Coupe 315к.с,69 500 лв.,декември 2015 г.,179 123,Черен,Дизелов,315,6,,автоматична,Джип,Пловдив,https://www.mobile.bg/obiava-21739383711837942-mercedes-benz-gle-3-5-d-coupe-315k-s
Mercedes-Benz GLE 350d Coupe 4Matic AMG-Line,69 999 лв.,октомври 2016 г.,187 000,Бял,Дизелов,258,6,2987,автоматична,Джип,София,https://www.mobile.bg/obiava-21738752595773860-mercedes-benz-gle-350d-coupe-4matic-amg-line
Mercedes-Benz GLE,74 999 лв.,декември 2017 г.,207 000,Черен,Дизелов,,,,автоматична,Джип,Пловдив,https://www.mobile.bg/obiava-21734598384488326-mercedes-benz-gle
Mercedes-Benz GLE 550e,75 000 лв.,януари 2018 г.,75 000,Черен,Plug-in хибрид,450,6,,автоматична,Джип,Разград,https://www.mobile.bg/obiava-21730742214148637-mercedes-benz-gle-550e
Mercedes-Benz GLE AMG-9G-TRONIC-КАМЕРА-ПАНОРАМА-С.КНИЖКА-,76 999 лв.,декември 2015 г.,187 000,Бял,Дизелов,,,,автоматична,Джип,Пловдив,https://www.mobile.bg/obiava-21706817148830518-mercedes-benz-gle-amg-9g-tronic-kamera-panorama-s-knizhka
Mercedes-Benz GLE 43 AMG COUPE Панорама Дистр.Head-up Keyless Cam360,78 990 лв.,октомври 2017 г.,127 000,Син,Бензинов,367,6,3000,автоматична,Джип,София,https://www.mobile.bg/obiava-21739561532264588-mercedes-benz-gle-43-amg-coupe-panorama-distr-head-up-keyless-cam360
Mercedes-Benz GLE 500E HYBRID,80 000 лв.,май 2016 г.,180 000,Черен,Хибриден,333,6,,автоматична,Джип,Враца,https://www.mobile.bg/obiava-21643013958396999-mercedes-benz-gle-500e-hybrid
Mercedes-Benz GLE,85 000 лв.,януари 2019 г.,198 000,Черен,Дизелов,272,6,3000,автоматична,Джип,Смолян,https://www.mobile.bg/obiava-21698870906600265-mercedes-benz-gle
Mercedes-Benz GLE 300 d 4 matic,89 000 лв.,декември 2020 г.,183 000,Бял,Дизелов,245,6,2000,автоматична,Джип,Велико Търново,https://www.mobile.bg/obiava-21739476225367218-mercedes-benz-gle-300-d-4-matic
Mercedes-Benz GLE 350 4MATIC FULL 6.3 AMG PACK,90 000 лв.,февруари 2016 г.,183 000,Бял,Дизелов,258,6,3000,автоматична,Купе,Добрич,https://www.mobile.bg/obiava-21730412334901648-mercedes-benz-gle-350-4matic-full-6-3-amg-pack
