title,price,manufacturing_year,mileage,color,fuel,hp,type,region,url,is_amg
mercedes-benz gle 450 d 4matic amg-line,199999,2023,22000,черен,дизелов,387.0,джип,софия,https://www.mobile.bg/obiava-11735825515838181-mercedes-benz-gle-450-d-4matic-amg-line,1
mercedes-benz gle 450 d/amg/facelift/night/pano/burm/airmatic/360/multib,167780,2023,20584,черен,дизелов,367.0,джип,софия,https://www.mobile.bg/obiava-11739447334667501-mercedes-benz-gle-450-d-amg-facelift-night-pano-burm-airmatic-360-multib,1
mercedes-benz gle 450 d/4m/amg-line/burmester/pano,169900,2024,18500,сив,дизелов,367.0,джип,варна,https://www.mobile.bg/obiava-11736802338439782-mercedes-benz-gle-450-d-4m-amg-line-burmester-pano,1
mercedes-benz gle 450 d 4m coupe amg night-pack 360 burm,169900,2024,14000,черен,дизелов,367.0,купе,софия,https://www.mobile.bg/obiava-11729585238227322-mercedes-benz-gle-450-d-4m-coupe-amg-night-pack-360-burm,1
mercedes-benz gle 450 d 4matic amg-line,169999,2023,35000,черен,дизелов,367.0,джип,софия,https://www.mobile.bg/obiava-11735825798265302-mercedes-benz-gle-450-d-4matic-amg-line,1
mercedes-benz gle 450 coupe* amg-line* pano* night-pack* 360* burmaister,170500,2023,14400,сив,дизелов,367.0,купе,пловдив,https://www.mobile.bg/obiava-11734292908783306-mercedes-benz-gle-450-coupe-amg-line-pano-night-pack-360-burmaister,1
mercedes-benz gle 450 d/amg/coupe/facelift/night/burm/360/airmatic/22/,170780,2023,13048,бял,дизелов,367.0,купе,софия,https://www.mobile.bg/obiava-11739448100209211-mercedes-benz-gle-450-d-amg-coupe-facelift-night-burm-360-airmatic-22,1
mercedes-benz gle 450 d 4matic = amg line advanced plus= гаранция,173750,2024,13500,бял,дизелов,387.0,джип,софия,https://www.mobile.bg/obiava-11737044414225562-mercedes-benz-gle-450-d-4matic-amg-line-advanced-plus-garantsiya,1
mercedes-benz gle 450 d 4m coupe amg night pano head up,174300,2024,15000,черен,дизелов,367.0,купе,софия,https://www.mobile.bg/obiava-21729593883173533-mercedes-benz-gle-450-d-4m-coupe-amg-night-pano-head-up,1
mercedes-benz gle 450 d 4m coupe amg night head up pano burmester,174500,2024,15000,бял,дизелов,367.0,купе,софия,https://www.mobile.bg/obiava-11729597187417980-mercedes-benz-gle-450-d-4m-coupe-amg-night-head-up-pano-burmester,1
mercedes-benz gle 450 d/amg/coupe/facelift/night/burm/360/airmatic/pano/,175980,2023,16550,черен,дизелов,367.0,купе,софия,https://www.mobile.bg/obiava-11739450006016769-mercedes-benz-gle-450-d-amg-coupe-facelift-night-burm-360-airmatic-pano,1
mercedes-benz gle 450 d/amg/facelift/4m/night/pano/burm/360/airmatic/21,176980,2023,13260,черен,дизелов,367.0,джип,софия,https://www.mobile.bg/obiava-11712582447933810-mercedes-benz-gle-450-d-amg-facelift-4m-night-pano-burm-360-airmatic-21,1
mercedes-benz gle 450 d/ facelift/ coupe/ night/airmatic/pano/burm/ 360/,179980,2023,9300,черен,дизелов,367.0,купе,софия,https://www.mobile.bg/obiava-21711969301465254-mercedes-benz-gle-450-d-facelift-coupe-night-airmatic-pano-burm-360,0
mercedes-benz gle 450 d coupe amg-line,179999,2023,49000,сив,дизелов,367.0,купе,софия,https://www.mobile.bg/obiava-11737537225207695-mercedes-benz-gle-450-d-coupe-amg-line,1
mercedes-benz gle 450 d coupe 4matic = amg line premium plus= гаранция,180000,2023,9000,черен,дизелов,387.0,купе,софия,https://www.mobile.bg/obiava-11734696973936206-mercedes-benz-gle-450-d-coupe-4matic-amg-line-premium-plus-garantsiya,1
mercedes-benz gle 450 d* amg* pano* keyless* distronic* burmester,182770,2023,29000,тъмно сив,дизелов,367.0,джип,софия,https://www.mobile.bg/obiava-11724486392599445-mercedes-benz-gle-450-d-amg-pano-keyless-distronic-burmester,1
mercedes-benz gle 450 d 4matic+ amg-line,182999,2023,10000,черен,дизелов,367.0,джип,софия,https://www.mobile.bg/obiava-11735914062872204-mercedes-benz-gle-450-d-4matic-amg-line,1
mercedes-benz gle 450 4m amg-line burmseter* pano* headup*,186200,2024,10,черен,хибриден,381.0,джип,пловдив,https://www.mobile.bg/obiava-11723102972320863-mercedes-benz-gle-450-4m-amg-line-burmseter-pano-headup,1
mercedes-benz gle 450 4matic amg* parkp* 360 * mbux,188158,2024,8000,черен,дизелов,367.0,джип,софия,https://www.mobile.bg/obiava-11732694996952986-mercedes-benz-gle-450-4matic-amg-parkp-360-mbux,1
mercedes-benz gle 450 d coupe 4matic amg-line,199999,2023,22000,сив,дизелов,367.0,купе,софия,https://www.mobile.bg/obiava-11734878559274565-mercedes-benz-gle-450-d-coupe-4matic-amg-line,1
mercedes-benz gle 450 d coupe 4matic amg-line,206999,2024,10000,черен,дизелов,367.0,купе,софия,https://www.mobile.bg/obiava-11735893007117100-mercedes-benz-gle-450-d-coupe-4matic-amg-line,1
"mercedes-benz gle 450 amg готов фининасовый лизинг, 367 к.с. , panorama",69900,2016,188000,черен,бензинов,367.0,джип,варна,https://www.mobile.bg/obiava-21737995455498094-mercedes-benz-gle-450-amg-gotov-fininasov-y-lizing-367-k-s-panorama,1
mercedes-benz gle 450 amg 450amg 4matic,77990,2016,129250,черен,бензинов,367.0,джип,софия,https://www.mobile.bg/obiava-21691757697999043-mercedes-benz-gle-450-amg-450amg-4matic,1
mercedes-benz gle 450 amg coupe,78400,2015,189000,черен,бензинов,367.0,купе,пловдив,https://www.mobile.bg/obiava-21729669733704424-mercedes-benz-gle-450-amg-coupe,1
mercedes-benz gle 450 amg 4 matic,79000,2015,189397,черен,бензинов,367.0,джип,велико търново,https://www.mobile.bg/obiava-21733413992786992-mercedes-benz-gle-450-amg-4-matic,1
mercedes-benz gle 450 amg 4matic,72999,2016,187500,червен,бензинов,367.0,купе,софия,https://www.mobile.bg/obiava-21734622962743531-mercedes-benz-gle-450-amg-4matic,1
mercedes-benz gle 450 amg amg package,99900,2021,98078,бежов,бензинов,367.0,джип,софия,https://www.mobile.bg/obiava-21739184528578548-mercedes-benz-gle-450-amg-amg-package,1
mercedes-benz gle 450 amg eq-boost mild-hibrid,119000,2021,120000,бял,бензинов,367.0,джип,русе,https://www.mobile.bg/obiava-21683816943502249-mercedes-benz-gle-450-amg-eq-boost-mild-hibrid,1
mercedes-benz gle 450 amg,119800,2020,78100,хамелеон,бензинов,367.0,джип,софия,https://www.mobile.bg/obiava-11722957929941500-mercedes-benz-gle-450-amg,1
mercedes-benz gle 450 amg 4matic,119900,2019,128000,черен,бензинов,367.0,джип,бургас,https://www.mobile.bg/obiava-21740583639615637-mercedes-benz-gle-450-amg-4matic,1
"mercedes-benz gle 450 amg 4м/360/burmester 4d/панор/3хtv обдухване , фулл!!!",120000,2020,60000,сив,бензинов,390.0,джип,благоевград,https://www.mobile.bg/obiava-21727541306639016-mercedes-benz-gle-450-amg-4m-360-burmester-4d-panor-3htv-obduhvane-full,1
